2010-05-26T09:17:28	Fast_Shutter	CLOSED
2010-05-26T09:54:57	Rear_Det_Z	4001.056
2010-05-26T09:54:58	Rear_Det_Z	4013.76
2010-05-26T09:55:00	Rear_Det_Z	4047.088
2010-05-26T09:55:00	Rear_Det_X	120
2010-05-26T09:55:01	Rear_Det_Z	4081.04
2010-05-26T09:55:02	Rear_Det_Z	4121.12
2010-05-26T09:55:03	Rear_Det_Z	4154.832
2010-05-26T09:55:04	Rear_Det_Z	4187.536
2010-05-26T09:55:04	Julabo_2	28.68
2010-05-26T09:55:05	Rear_Det_Z	4227.2
2010-05-26T09:55:06	Rear_Det_Z	4266.72
2010-05-26T09:55:08	Rear_Det_Z	4306.352
2010-05-26T09:55:09	Rear_Det_Z	4347.36
2010-05-26T09:55:10	Rear_Det_Z	4386.88
2010-05-26T09:55:10	Julabo_2	28.58
2010-05-26T09:55:11	Rear_Det_Z	4426.416
2010-05-26T09:55:12	Rear_Det_Z	4467.248
2010-05-26T09:55:14	Rear_Det_Z	4514.624
2010-05-26T09:55:15	Rear_Det_Z	4547.68
2010-05-26T09:55:16	Rear_Det_Z	4589.584
2010-05-26T09:55:16	Julabo_2	28.47
2010-05-26T09:55:17	Rear_Det_Z	4629.44
2010-05-26T09:55:19	Rear_Det_Z	4676.704
2010-05-26T09:55:20	Rear_Det_Z	4717.104
2010-05-26T09:55:21	Rear_Det_Z	4756.656
2010-05-26T09:55:22	Rear_Det_Z	4795.984
2010-05-26T09:55:24	Rear_Det_Z	4835.52
2010-05-26T09:55:25	Rear_Det_Z	4877.68
2010-05-26T09:55:26	Rear_Det_Z	4917.6
2010-05-26T09:55:26	Julabo_2	28.34
2010-05-26T09:55:28	Rear_Det_Z	4963.68
2010-05-26T09:55:29	Moderator_Temp	28
2010-05-26T09:55:29	Rear_Det_Z	5010.704
2010-05-26T09:55:30	Rear_Det_Z	5043.872
2010-05-26T09:55:31	Moderator_Temp	29
2010-05-26T09:55:31	Rear_Det_Z	5090.752
2010-05-26T09:55:32	Rear_Det_Z	5123.808
2010-05-26T09:55:32	Julabo_2	28.23
2010-05-26T09:55:34	Rear_Det_Z	5163.312
2010-05-26T09:55:35	Moderator_Temp	28
2010-05-26T09:55:35	Rear_Det_Z	5210
2010-05-26T09:55:36	Rear_Det_Z	5250.832
2010-05-26T09:55:37	Rear_Det_Z	5280.48
2010-05-26T09:55:39	Rear_Det_Z	5327.984
2010-05-26T09:55:39	Julabo_2	28.13
